"Location","Age group","TimeFrame","EnteringNumber","ExitingNumber","AdoptionNumber","ChildPopulation"
"Alaska","16 to 20",2019-01-01,56,153,16,27329
"Alaska","16 to 20",2021-01-01,66,180,19,27574
"Alaska","11 to 15",2021-01-01,293,260,63,49868
"Alaska","6 to 10",2021-01-01,303,347,97,50749
"Alaska","1 to 5",2021-01-01,418,471,158,48621
"Alaska","<1",2021-01-01,244,33,2,9451
"Arizona","6 to 10",2021-01-01,1736,1672,481,441222
"Arizona","11 to 15",2021-01-01,1747,1452,303,478126
"Arizona","16 to 20",2021-01-01,610,823,90,282735
"Arizona","<1",2021-01-01,1831,362,45,75004
"Arizona","1 to 5",2021-01-01,2435,2976,1058,407802
"Arizona","<1",2019-01-01,1866,427,105,81439
"Arizona","1 to 5",2019-01-01,2944,3339,1668,438543
"Arizona","6 to 10",2019-01-01,2003,2270,896,455947
"Arizona","11 to 15",2019-01-01,2032,1846,570,480358
"Arizona","16 to 20",2019-01-01,759,1476,133,284012
"Arizona","<1",2017-01-01,1939,556,108,83274
"Arizona","1 to 5",2017-01-01,2873,4358,2193,440917
"Arizona","11 to 15",2017-01-01,2118,2178,673,464309
"Arizona","16 to 20",2017-01-01,945,1810,147,284143
"Arizona","6 to 10",2017-01-01,2179,2964,1177,460867
"Arizona","<1",2016-01-01,2214,544,54,84893
"Arizona","1 to 5",2016-01-01,3600,4390,1904,441138
"Arizona","6 to 10",2016-01-01,2690,3086,1084,462504
"Arizona","11 to 15",2016-01-01,2234,2121,504,460616
"Arizona","16 to 20",2016-01-01,987,1831,108,281413
"Arizona","<1",2012-01-01,1837,410,47,85554
"Arizona","1 to 5",2012-01-01,3487,2881,1279,447198
"Arizona","6 to 10",2012-01-01,2310,1711,598,451936
"Arizona","11 to 15",2012-01-01,2100,1420,300,452820
"Arizona","16 to 20",2012-01-01,928,1384,51,271292
"Arizona","<1",2014-01-01,2143,455,67,86303
"Arizona","1 to 5",2014-01-01,3709,3665,1683,438131
"Arizona","6 to 10",2014-01-01,2930,2533,862,463025
"Arizona","11 to 15",2014-01-01,2389,1737,380,455854
"Arizona","16 to 20",2014-01-01,1033,1616,98,272855
"Arizona","<1",2011-01-01,1416,357,36,86118
"Arizona","1 to 5",2011-01-01,2684,2792,1275,450812
"Arizona","11 to 15",2011-01-01,1783,1236,304,448528
"Arizona","16 to 20",2011-01-01,886,1283,54,271855
"Arizona","6 to 10",2011-01-01,1718,1591,606,450330
"Arizona","<1",2020-01-01,1977,451,80,76248
"Arizona","16 to 20",2020-01-01,699,1002,93,284445
"Arizona","11 to 15",2020-01-01,1925,1803,492,478935
"Arizona","6 to 10",2020-01-01,1916,2107,734,439642
"Arizona","1 to 5",2020-01-01,2839,3294,1506,413579
"Arizona","<1",2015-01-01,2341,538,61,86813
"Arizona","1 to 5",2015-01-01,3849,3845,1721,437510
"Arizona","6 to 10",2015-01-01,2997,2832,920,463523
"Arizona","11 to 15",2015-01-01,2421,1862,431,458809
"Arizona","16 to 20",2015-01-01,1110,1742,103,275846
"Arizona","<1",2010-01-01,1341,343,26,86667
"Arizona","1 to 5",2010-01-01,2613,2626,1135,457880
"Arizona","6 to 10",2010-01-01,1487,1562,536,454251
"Arizona","11 to 15",2010-01-01,1649,1311,274,446363
"Arizona","16 to 20",2010-01-01,799,1338,74,275160
"Arizona","16 to 20",2009-01-01,835,1354,40,276457
"Arizona","11 to 15",2009-01-01,1608,1366,206,443947
"Arizona","6 to 10",2009-01-01,1478,1536,477,448477
"Arizona","1 to 5",2009-01-01,2371,2496,912,466216
"Arizona","<1",2009-01-01,1292,409,18,86485
"Arizona","16 to 20",2018-01-01,904,1698,162,285662
"Arizona","11 to 15",2018-01-01,1859,2015,601,471695
"Arizona","6 to 10",2018-01-01,1986,2499,1028,457911
"Arizona","1 to 5",2018-01-01,2691,3878,2026,440557
"Arizona","<1",2018-01-01,1731,459,109,81155
"Arizona","<1",2013-01-01,1918,480,66,86224
"Arizona","1 to 5",2013-01-01,3540,3508,1414,441689
"Arizona","6 to 10",2013-01-01,2349,2250,659,457328
"Arizona","11 to 15",2013-01-01,2061,1682,316,453792
"Arizona","16 to 20",2013-01-01,920,1535,67,270880
"Arizona","<1",2008-01-01,1370,411,21,95576
"Arizona","1 to 5",2008-01-01,2430,2508,940,468193
"Arizona","6 to 10",2008-01-01,1637,1566,462,438545
"Arizona","11 to 15",2008-01-01,1822,1409,213,444236
"Arizona","16 to 20",2008-01-01,948,1190,25,277182
"Arizona","16 to 20",2007-01-01,839,1233,31,271433
